station_id;datetime;lead_time_hour;species;conc_raw_micrograms_per_m3
IT0983A;2024-12-01 00:00;0;PM2.5;5.1
IT0983A;2024-12-01 01:00;1;PM2.5;4.6
IT0983A;2024-12-01 02:00;2;PM2.5;4.2
IT0983A;2024-12-01 03:00;3;PM2.5;3.8
IT0983A;2024-12-01 04:00;4;PM2.5;3.4
IT0983A;2024-12-01 05:00;5;PM2.5;3.2
IT0983A;2024-12-01 06:00;6;PM2.5;3.0
IT0983A;2024-12-01 07:00;7;PM2.5;2.9
IT0983A;2024-12-01 08:00;8;PM2.5;2.8
IT0983A;2024-12-01 09:00;9;PM2.5;2.9
IT0983A;2024-12-01 10:00;10;PM2.5;3.0
IT0983A;2024-12-01 11:00;11;PM2.5;2.9
IT0983A;2024-12-01 12:00;12;PM2.5;2.7
IT0983A;2024-12-01 13:00;13;PM2.5;2.9
IT0983A;2024-12-01 14:00;14;PM2.5;2.8
IT0983A;2024-12-01 15:00;15;PM2.5;3.3
IT0983A;2024-12-01 16:00;16;PM2.5;3.9
IT0983A;2024-12-01 17:00;17;PM2.5;5.5
IT0983A;2024-12-01 18:00;18;PM2.5;6.9
IT0983A;2024-12-01 19:00;19;PM2.5;7.1
IT0983A;2024-12-01 20:00;20;PM2.5;6.8
IT0983A;2024-12-01 21:00;21;PM2.5;6.3
IT0983A;2024-12-01 22:00;22;PM2.5;5.7
IT0983A;2024-12-01 23:00;23;PM2.5;4.8
IT1578A;2024-12-01 00:00;0;PM2.5;4.8
IT1578A;2024-12-01 01:00;1;PM2.5;5.8
IT1578A;2024-12-01 02:00;2;PM2.5;7.2
IT1578A;2024-12-01 03:00;3;PM2.5;8.5
IT1578A;2024-12-01 04:00;4;PM2.5;8.7
IT1578A;2024-12-01 05:00;5;PM2.5;8.7
IT1578A;2024-12-01 06:00;6;PM2.5;10.5
IT1578A;2024-12-01 07:00;7;PM2.5;13.2
IT1578A;2024-12-01 08:00;8;PM2.5;15.8
IT1578A;2024-12-01 09:00;9;PM2.5;16.5
IT1578A;2024-12-01 10:00;10;PM2.5;16.1
IT1578A;2024-12-01 11:00;11;PM2.5;14.5
IT1578A;2024-12-01 12:00;12;PM2.5;13.0
IT1578A;2024-12-01 13:00;13;PM2.5;12.1
IT1578A;2024-12-01 14:00;14;PM2.5;11.2
IT1578A;2024-12-01 15:00;15;PM2.5;11.1
IT1578A;2024-12-01 16:00;16;PM2.5;12.2
IT1578A;2024-12-01 17:00;17;PM2.5;12.9
IT1578A;2024-12-01 18:00;18;PM2.5;18.1
IT1578A;2024-12-01 19:00;19;PM2.5;23.9
IT1578A;2024-12-01 20:00;20;PM2.5;25.4
IT1578A;2024-12-01 21:00;21;PM2.5;27.4
IT1578A;2024-12-01 22:00;22;PM2.5;28.3
IT1578A;2024-12-01 23:00;23;PM2.5;28.5
IT1773A;2024-12-01 00:00;0;PM2.5;5.9
IT1773A;2024-12-01 01:00;1;PM2.5;7.2
IT1773A;2024-12-01 02:00;2;PM2.5;12.7
IT1773A;2024-12-01 03:00;3;PM2.5;12.6
IT1773A;2024-12-01 04:00;4;PM2.5;14.8
IT1773A;2024-12-01 05:00;5;PM2.5;13.6
IT1773A;2024-12-01 06:00;6;PM2.5;12.3
IT1773A;2024-12-01 07:00;7;PM2.5;14.2
IT1773A;2024-12-01 08:00;8;PM2.5;13.8
IT1773A;2024-12-01 09:00;9;PM2.5;12.2
IT1773A;2024-12-01 10:00;10;PM2.5;10.3
IT1773A;2024-12-01 11:00;11;PM2.5;9.0
IT1773A;2024-12-01 12:00;12;PM2.5;8.7
IT1773A;2024-12-01 13:00;13;PM2.5;9.0
IT1773A;2024-12-01 14:00;14;PM2.5;9.1
IT1773A;2024-12-01 15:00;15;PM2.5;10.0
IT1773A;2024-12-01 16:00;16;PM2.5;11.1
IT1773A;2024-12-01 17:00;17;PM2.5;12.6
IT1773A;2024-12-01 18:00;18;PM2.5;14.7
IT1773A;2024-12-01 19:00;19;PM2.5;16.2
IT1773A;2024-12-01 20:00;20;PM2.5;16.2
IT1773A;2024-12-01 21:00;21;PM2.5;16.0
IT1773A;2024-12-01 22:00;22;PM2.5;16.6
IT1773A;2024-12-01 23:00;23;PM2.5;16.6
IT1796A;2024-12-01 00:00;0;PM2.5;4.8
IT1796A;2024-12-01 01:00;1;PM2.5;4.9
IT1796A;2024-12-01 02:00;2;PM2.5;5.5
IT1796A;2024-12-01 03:00;3;PM2.5;5.2
IT1796A;2024-12-01 04:00;4;PM2.5;6.1
IT1796A;2024-12-01 05:00;5;PM2.5;6.3
IT1796A;2024-12-01 06:00;6;PM2.5;6.1
IT1796A;2024-12-01 07:00;7;PM2.5;6.2
IT1796A;2024-12-01 08:00;8;PM2.5;6.0
IT1796A;2024-12-01 09:00;9;PM2.5;6.5
IT1796A;2024-12-01 10:00;10;PM2.5;7.5
IT1796A;2024-12-01 11:00;11;PM2.5;7.7
IT1796A;2024-12-01 12:00;12;PM2.5;7.4
IT1796A;2024-12-01 13:00;13;PM2.5;7.9
IT1796A;2024-12-01 14:00;14;PM2.5;8.4
IT1796A;2024-12-01 15:00;15;PM2.5;8.9
IT1796A;2024-12-01 16:00;16;PM2.5;9.6
IT1796A;2024-12-01 17:00;17;PM2.5;10.3
