id;position_number;lon;lat;alt;date_start;date_end
AD0942A;1;1.53914;42.50969;1080.0;2026-03-20;
AD0944A;1;1.56525;42.51694;1637.0;2026-03-20;
AL0203A;1;20.78018;40.62592;848.0;2025-10-11;
AL0206A;1;19.52342;42.3139;13.0;2025-10-11;
AT0ENK1;1;13.67086;48.39163;525.0;2024-01-17;2024-03-05
AT0ENK1;2;13.67114;48.39171;525.0;2024-03-06;2024-03-09
AT0ENK1;3;13.67086;48.39163;525.0;2024-03-10;2024-12-23
AT0ENK1;4;13.6709;48.3916;525.0;2024-12-24;2024-12-24
AT0ENK1;5;13.67086;48.39164;525.0;2024-12-25;
AT0ILL1;1;16.76639;47.77027;117.0;2024-01-17;2024-09-27
AT0ILL1;2;16.76639;47.77028;117.0;2024-09-28;2024-12-22
AT0ILL1;3;16.7664;47.7703;117.0;2024-12-23;2024-12-24
AT0ILL1;4;16.76639;47.77028;117.0;2024-12-25;
AT0KLH1;1;15.9563;46.76719;417.0;2024-01-17;2024-03-05
AT0KLH1;2;15.95611;46.76749;415.0;2024-03-06;2024-03-09
AT0KLH1;3;15.9563;46.76719;417.0;2024-03-10;2024-09-27
AT0KLH1;4;15.9563;46.7672;417.0;2024-09-28;
AT0PIL1;1;15.936;48.72119;315.0;2024-01-17;2024-03-05
AT0PIL1;2;15.94222;48.72111;315.0;2024-03-06;2024-03-09
AT0PIL1;3;15.936;48.72119;315.0;2024-03-10;2024-09-27
AT0PIL1;4;15.936;48.7212;315.0;2024-09-28;
AT0SON1;1;12.9583;47.05417;3106.0;2026-03-20;
AT0VOR1;1;12.9746;46.67764;1036.0;2024-01-17;2024-03-05
AT0VOR1;2;12.97444;46.67861;1010.0;2024-03-06;2024-03-09
AT0VOR1;3;12.9746;46.67764;1036.0;2024-03-10;2024-09-27
AT0VOR1;4;12.9746;46.67765;1036.0;2024-09-28;2024-12-22
AT0VOR1;5;12.9746;46.6776;1036.0;2024-12-23;2024-12-24
AT0VOR1;6;12.9746;46.67765;1036.0;2024-12-25;
AT0ZOE2;1;14.4409;47.83827;892.0;2024-01-17;2024-03-05
AT0ZOE2;2;14.44138;47.83861;899.0;2024-03-06;2024-03-09
AT0ZOE2;3;14.4409;47.83827;892.0;2024-03-10;2024-09-27
AT0ZOE2;4;14.4409;47.83828;892.0;2024-09-28;2024-12-23
AT0ZOE2;5;14.4409;47.8383;892.0;2024-12-24;2024-12-24
AT0ZOE2;6;14.44091;47.83828;892.0;2024-12-25;
AT10001;1;16.52617;47.84011;165.0;2024-01-17;2024-03-04
AT10001;2;16.52805;47.83999;160.0;2024-03-05;2024-03-09
AT10001;3;16.52617;47.84011;165.0;2024-03-10;2024-12-22
AT10001;4;16.5262;47.8401;165.0;2024-12-23;2024-12-24
AT10001;5;16.52617;47.84011;165.0;2024-12-25;
AT10003;1;17.07031;48.10915;136.0;2026-03-20;
AT2KA41;1;14.28931;46.62935;550.0;2024-01-17;2024-09-27
AT2KA41;2;14.28931;46.62936;550.0;2024-09-28;2024-12-22
AT2KA41;3;14.2893;46.6294;550.0;2024-12-23;2024-12-24
AT2KA41;4;14.28931;46.62936;550.0;2024-12-25;
AT2KA71;1;14.29914;46.62661;445.0;2024-01-17;2024-12-23
AT2KA71;2;14.2991;46.6266;445.0;2024-12-24;2024-12-24
AT2KA71;3;14.29914;46.62662;445.0;2024-12-25;
AT2M121;1;13.70345;46.5584;574.0;2026-03-20;
AT2M226;1;14.39826;46.6101;420.0;2024-01-17;2024-03-05
AT2M226;2;14.39833;46.61027;420.0;2024-03-06;2024-03-10
AT2M226;3;14.39826;46.6101;420.0;2024-03-11;2024-09-27
AT2M226;4;14.39826;46.61011;420.0;2024-09-28;2024-12-22
AT2M226;5;14.3983;46.6101;420.0;2024-12-23;2024-12-24
AT2M226;6;14.39826;46.61011;420.0;2024-12-25;
AT2M805;1;14.33014;46.82518;1070.0;2025-03-10;
AT2SP10;1;13.19453;46.93499;686.0;2024-01-17;2024-03-04
AT2SP10;2;13.19583;46.93499;686.0;2024-03-05;2024-03-09
AT2SP10;3;13.19453;46.93499;686.0;2024-03-10;2024-12-23
AT2SP10;4;13.1945;46.935;686.0;2024-12-24;2024-12-24
AT2SP10;5;13.19453;46.935;686.0;2024-12-25;
AT2SP18;1;13.49388;46.80138;560.0;2024-01-17;2024-12-23
AT2SP18;2;13.4939;46.8014;560.0;2024-12-24;2024-12-24
AT2SP18;3;13.49389;46.80139;560.0;2024-12-25;
AT2VI12;1;13.84147;46.61231;490.0;2026-03-20;
AT2VL52;1;13.91449;46.6954;1897.0;2026-03-20;
AT2WO15;1;14.84346;46.83498;460.0;2026-03-20;
AT2WO35;1;14.89166;46.70833;540.0;2024-01-17;2024-12-23
