datetime,qualitystatus,resolutioncode,netregulationvolume,systemimbalance,alpha,marginalincrementalprice,marginaldecrementalprice,strategicreserveprice,positiveimbalanceprice,negativeimbalanceprice
2024-01-01T00:00:00+00:00,Validated,PT15M,283.57,-307.294,33.66,178.2,-46.59,,211.86,211.86
2024-01-01T00:15:00+00:00,Validated,PT15M,205.495,-213.417,10.26,111.3,-36.58,,121.56,121.56
2024-01-01T00:30:00+00:00,Validated,PT15M,252.51,-262.821,7.4,111.3,25.0,,118.7,118.7
2024-01-01T00:45:00+00:00,Validated,PT15M,195.806,-196.002,6.5,111.3,11.21,,117.8,117.8
2024-01-01T01:00:00+00:00,Validated,PT15M,278.006,-330.263,5.32,300.45,25.0,,305.77,305.77
2024-01-01T01:15:00+00:00,Validated,PT15M,401.84,-418.735,47.68,121.24,-8.67,,168.92,168.92
2024-01-01T01:30:00+00:00,Validated,PT15M,340.556,-342.143,51.07,111.3,-37.41,,162.37,162.37
2024-01-01T01:45:00+00:00,Validated,PT15M,352.907,-366.747,37.39,127.47,20.41,,164.85,164.85
2024-01-01T02:00:00+00:00,Validated,PT15M,412.511,-425.89,42.1,261.74,-39.81,,303.85,303.85
2024-01-01T02:15:00+00:00,Validated,PT15M,358.006,-363.276,59.78,111.3,25.0,,171.08,171.08
2024-01-01T02:30:00+00:00,Validated,PT15M,282.539,-272.996,23.24,111.3,13.75,,134.54,134.54
2024-01-01T02:45:00+00:00,Validated,PT15M,192.47,-183.442,6.38,111.3,-9.47,,117.68,117.68
2024-01-01T03:00:00+00:00,Validated,PT15M,39.535,-48.956,0.0,250.0,-16.95,,250.0,250.0
2024-01-01T03:15:00+00:00,Validated,PT15M,49.247,-63.868,0.0,70.58,-36.77,,70.58,70.58
2024-01-01T03:30:00+00:00,Validated,PT15M,142.525,-156.88,1.07,72.4,-36.85,,73.47,73.47
2024-01-01T03:45:00+00:00,Validated,PT15M,134.239,-139.863,0.0,71.2,-36.9,,71.2,71.2
2024-01-01T04:00:00+00:00,Validated,PT15M,78.865,-87.428,0.0,70.24,-36.77,,70.24,70.24
2024-01-01T04:15:00+00:00,Validated,PT15M,53.398,-54.44,0.0,70.24,-36.77,,70.24,70.24
