datetime,resolutioncode,offshoreonshore,region,gridconnectiontype,measured,mostrecentforecast,mostrecentconfidence10,mostrecentconfidence90,dayahead11hforecast,dayahead11hconfidence10,dayahead11hconfidence90,dayaheadforecast,dayaheadconfidence10,dayaheadconfidence90,weekaheadforecast,weekaheadconfidence10,weekaheadconfidence90,monitoredcapacity,loadfactor,decrementalbidid
2024-01-01T00:00:00+01:00,PT15M,Offshore,Federal,Elia,2096.25,2121.0,2064.0,2163.7,2185.9,2012.7,2245.6,2182.9,2059.6,2232.1,2130.7,2045.8,2212.4,2262.1,0.93,''
2024-01-01T00:15:00+01:00,PT15M,Offshore,Federal,Elia,2096.2,2124.3,2058.0,2170.3,2186.2,2022.9,2244.9,2182.6,2061.7,2233.9,2136.4,2034.6,2221.7,2262.1,0.93,''
2024-01-01T00:30:00+01:00,PT15M,Offshore,Federal,Elia,2090.75,2127.8,2051.9,2177.1,2186.5,2032.9,2244.3,2182.6,2063.9,2234.0,2141.3,2015.1,2228.4,2262.1,0.92,''
2024-01-01T00:45:00+01:00,PT15M,Offshore,Federal,Elia,2082.16,2131.0,2050.2,2183.0,2187.0,2031.2,2243.6,2182.8,2064.2,2233.8,2146.8,2000.9,2228.6,2262.1,0.92,''
2024-01-01T01:00:00+01:00,PT15M,Offshore,Federal,Elia,2077.74,2123.4,2066.4,2165.7,2187.1,2017.7,2243.7,2182.3,2061.9,2233.6,2149.3,1989.1,2227.0,2262.1,0.92,''
2024-01-01T01:15:00+01:00,PT15M,Offshore,Federal,Elia,2089.99,2126.4,2060.0,2172.2,2187.2,1992.4,2244.3,2182.3,2057.2,2233.0,2149.8,1981.0,2227.1,2262.1,0.92,''
2024-01-01T01:30:00+01:00,PT15M,Offshore,Federal,Elia,2101.92,2129.4,2053.5,2178.3,2187.2,1967.1,2244.9,2182.1,2052.7,2231.6,2150.0,1972.8,2227.0,2262.1,0.93,''
2024-01-01T01:45:00+01:00,PT15M,Offshore,Federal,Elia,2099.31,2132.2,2051.4,2184.1,2187.2,1947.9,2244.8,2181.8,2047.5,2230.9,2150.3,1966.6,2226.9,2262.1,0.93,''
2024-01-01T02:00:00+01:00,PT15M,Offshore,Federal,Elia,2101.68,2117.4,2060.4,2160.1,2186.7,1934.0,2244.0,2181.1,2041.2,2230.7,2150.3,1962.3,2227.1,2262.1,0.93,''
2024-01-01T02:15:00+01:00,PT15M,Offshore,Federal,Elia,2101.45,2120.4,2053.8,2166.4,2186.7,1927.1,2243.4,2180.9,2035.4,2231.4,2150.4,1960.3,2227.5,2262.1,0.93,''
2024-01-01T02:30:00+01:00,PT15M,Offshore,Federal,Elia,2097.65,2123.4,2047.6,2172.8,2186.7,1919.8,2242.4,2180.9,2029.5,2231.6,2150.7,1958.1,2227.7,2262.1,0.93,''
2024-01-01T02:45:00+01:00,PT15M,Offshore,Federal,Elia,2098.98,2126.2,2045.3,2178.4,2186.9,1917.6,2242.0,2181.1,2024.2,2232.3,2150.8,1963.1,2227.8,2262.1,0.93,''
2024-01-01T03:00:00+01:00,PT15M,Offshore,Federal,Elia,2093.06,2119.1,2062.1,2162.2,2187.0,1920.4,2241.8,2181.3,2019.2,2233.2,2151.4,1974.9,2227.7,2262.1,0.93,''
2024-01-01T03:15:00+01:00,PT15M,Offshore,Federal,Elia,2101.88,2121.9,2055.4,2168.1,2187.1,1927.9,2242.3,2181.2,2014.8,2234.2,2151.5,1993.5,2227.3,2262.1,0.93,''
2024-01-01T03:30:00+01:00,PT15M,Offshore,Federal,Elia,2098.29,2124.6,2048.7,2174.3,2187.2,1935.3,2242.5,2181.4,2010.5,2235.4,2151.6,2012.2,2225.0,2262.1,0.93,''
