wind_speed_ms,power_fraction
0.0,0.0
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,0.009333
4.0,0.021752
4.5,0.037698
5.0,0.057613
5.5,0.081937
6.0,0.111111
6.5,0.145576
7.0,0.185773
7.5,0.232143
8.0,0.285126
8.5,0.345165
9.0,0.412698
9.5,0.488169
10.0,0.572016
10.5,0.664683
11.0,0.766608
11.5,0.878233
12.0,1.0
12.5,1.0
13.0,1.0
13.5,1.0
14.0,1.0
14.5,1.0
15.0,1.0
15.5,1.0
16.0,1.0
16.5,1.0
17.0,1.0
17.5,1.0
18.0,1.0
18.5,1.0
19.0,1.0
19.5,1.0
20.0,1.0
20.5,1.0
21.0,1.0
21.5,1.0
22.0,1.0
22.5,1.0
23.0,1.0
23.5,1.0
24.0,1.0
24.5,1.0
25.0,1.0
25.5,0.0
26.0,0.0
26.5,0.0
27.0,0.0
27.5,0.0
28.0,0.0
28.5,0.0
29.0,0.0
29.5,0.0
30.0,0.0
